year,gainer,procedure,entity,area,pop,loser
1922,Egypt,Independence,Egypt,994300,12800000,United Kingdom
1922,Ireland,Independence,Ireland,68891,3165000,United Kingdom
1924,Italy,Cession,Kenya,85470,12000,United Kingdom
1924,Belgium,Mandated territory,Rwanda-Urundi,54222,3000000,Germany
1924,Yugoslavia,Cession,Italy,1,0,Italy
1924,Italy,Cession,Yugoslavia,17,49806,Yugoslavia
1925,Egypt,Cession,Libya,1,0,Italy
1925,Italy,Cession,Egypt,400,0,Egypt
1926,New Zealand,Cession,Tokelau Is.,6,1033,United Kingdom
1926,United Kingdom,Cession,Iraq,91009,703378,Turkey
1927,Portugal,Cession,Democratic Republic of the Congo,3500,0,Belgium
1927,Belgium,Cession,Angola,3,0,Portugal
1928,Netherlands,Cession,Indonesia,1,0,United States of America
1928,Norway,Cession,Bouvet I.,48,0,United Kingdom
1929,Peru,Cession,Chile,8498,30000,Chile
1930,China,Cession,China,738,154416,United Kingdom
1932,France,Cession,French Polynesia,5,0,Mexico
1932,Japan,Conquest,Manchukuo,1304292,32900000,China
1932,Iraq,Independence,Iraq,301994,3560456,United Kingdom
1933,United Kingdom,Cession,Newfoundland,404519,289516,Newfoundland
1933,Japan,Conquest,China,173960,2963027,China
1934,Colombia,Cession,Peru,113882,40000,Peru
1934,Italy,Cession,Sudan,1,0,France
1934,Saudi Arabia,Cession,Yemen Arab Republic,1,50,Yemen Arab Republic
1935,Paraguay,Conquest,Bolivia,233100,35000,Bolivia
1935,Germany,Unification,Saar,1912,812030,France
1935,Italy,Cession,Djibouti,800,0,France
1936,Italy,Conquest,Ethiopia,906499,7000000,Ethiopia
1937,Japan,Conquest,China,1500000,0,China
1938,Germany,Annexation,Austria,83869,6760000,Austria
1938,Germany,Cession,Czechoslovakia,28674,3653292,Czechoslovakia
1938,Hungary,Cession,Slovakia,11826,1027450,Czechoslovakia
1938,Poland,Annexation,Czechoslovakia,1085,241698,Czechoslovakia
1939,Slovakia,Secession,Slovakia,38456,2450096,Czechoslovakia
1939,Turkey,Cession,Syria,5312,273350,France
1939,Germany,Annexation,Czechoslovakia,98909,9807096,Czechoslovakia
1939,Hungary,Conquest,Czechoslovakia,11094,522124,Czechoslovakia
1939,Italy,Conquest,Albania,28748,1003124,Albania
1939,Lithuania,Cession,Poland,6656,457500,Russia
1939,Germany,Annexation,Lithuania,2846,152660,Lithuania
1940,Russia,Cession,Finland,40000,450000,Finland
1940,Bulgaria,Cession,Romania,7421,0,Romania
1940,Russia,Conquest,Estonia,47549,1126000,Estonia
1940,Russia,Conquest,Latvia,65773,1950000,Latvia
1940,Russia,Conquest,Lithuania,59464,2879070,Lithuania
1941,Ethiopia,Cession,Ethiopia,906499,15000000,Italy
1942,Peru,Cession,Ecuador,190807,31000,Ecuador
1944,Albania,Cession,Albania,28748,1132000,Italy
1944,Iceland,Secession,Iceland,103000,132000,Denmark
1945,Czechoslovakia,Cession,Czechoslovakia,127860,12900000,Germany
1945,Czechoslovakia,Cession,Czechoslovakia,22922,1000000,Hungary
1945,Czechoslovakia,Annexation,Slovakia,38456,2450096,Slovakia
1945,Russia,Cession,Germany,13000,0,Germany
1945,Russia,Cession,Poland,179460,0,Poland
1945,Russia,Cession,Czechoslovakia,7000,0,Czechoslovakia
1945,China,Cession,China,1500000,0,Japan
1945,Russia,Cession,Japan,41063,339357,Japan
1945,China,Cession,Taiwan,35763,6084000,Japan
1945,United States of America,Cession,Abuja,2354,869287,Japan
1946,Philippines,Independence,Philippines,299404,18400000,United States of America
1946,Jordan,Independence,Jordan,89484,400000,United Kingdom
1946,Syria,Independence,Syria,184920,2978000,France
1946,Lebanon,Independence,Lebanon,10400,1156000,France
1947,Australia,Cession,Heard and McDonald Is.,412,0,United Kingdom
1947,France,Annexation,Saar,2567,874000,German Federal Republic
1947,Czechoslovakia,Cession,Hungary,1,0,Hungary
1947,Yugoslavia,Cession,Italy,3600,0,Italy
1947,Greece,Cession,Dodecanese Is. (Aegean Is.),2681,115343,Italy
1947,Albania,Cession,Albania,5,0,Italy
1947,France,Cession,Italy,1,0,Italy
1947,Russia,Conquest,Romania,49987,3500000,Romania
1947,Russia,Cession,Finland,44104,450000,Finland
1947,United States of America,Mandated territory,U. S. Pacific Trust Territories,1779,47000,Japan
1947,India,Independence,India,2729368,345000,United Kingdom
1947,Pakistan,Independence,Pakistan,863777,72200000,United Kingdom
1948,Canada,Unification,Newfoundland,404519,324000,United Kingdom
1948,South Korea,Independence,South Korea,98500,20200000,United States of America
1948,Myanmar,Independence,Myanmar,678034,18100000,United Kingdom
1948,Sri Lanka,Independence,Sri Lanka,65610,7244000,United Kingdom
1948,Israel,Independence,Israel,12820,782000,United Kingdom
1948,North Korea,Independence,North Korea,121129,8000000,Russia
1949,Belgium,Cession,Germany,18,0,Germany
1949,France,Cession,Germany,7,0,Germany
1949,Luxembourg,Cession,Germany,6,0,Germany
1949,Netherlands,Cession,German Federal Republic,78,9000,German Federal Republic
1949,Jordan,Conquest,Israel,5607,400000,Israel
1949,Egypt,Conquest,Israel,258,405000,Israel
1949,Pakistan,Conquest,Kashmir,32024,1320000,India
1949,Bhutan,Cession,India,83,19920,India
1949,India,Conquest,Kashmir,139860,2700000,Pakistan
1949,Indonesia,Independence,Indonesia,1491562,74800000,Netherlands
1949,Taiwan,Secession,Taiwan,36156,7099000,China
1949,Bhutan,Independence,Bhutan,46600,300000,India
1950,India,Cession,Sokoto,10,44786,France
1950,India,Cession,Sikkim,7298,137158,Sikkim
1951,Russia,Cession,Poland,240,7000,Poland
1951,Poland,Cession,Russia,240,7000,Russia
1953,Japan,Cession,Abuja,1000,0,United States of America
1953,Laos,Independence,Laos,236800,1505000,France
1953,Cambodia,Independence,Cambodia,172511,4440000,France
1954,India,Annexation,Portugal,491,57963,Portugal
1954,India,Cession,Sokoto,503,323000,France
1954,Republic of Vietnam,Independence,Republic of Vietnam,168350,9934000,France
1954,Vietnam,Independence,Vietnam,155203,16100000,France
1954,German Democratic Republic,Independence,German Democratic Republic,107834,18100000,Russia
1955,Australia,Cession,Cocos (Keeling) Is.,14,500,United Kingdom
1955,France,Cession,Libya,26000,0,Libya
1955,China,Cession,Taiwan,1,300,Taiwan
1956,Egypt,Cession,Egypt,1,0,United Kingdom
1956,German Federal Republic,Cession,Belgium,1,648,Belgium
1956,Morocco,Cession,Spanish Morocco,19656,1045000,Spain
